#separator:tab
#html:true
#columns:Word	WordAudio	Meaning	Sentence	SentenceAudio	Translation	Tags
#tags column:7
うんこ	うんこ	poop; poo; faeces<div style="font-size:12px;color:#a7aebb;margin-top:4px">noun &middot; frequency rank 3225</div>	<ruby>生<rt>い</rt></ruby>き<ruby>物<rt>もの</rt></ruby>なんだから<b>ウンコ</b>するに<ruby>決<rt>き</rt></ruby>まってんだろ。	生き物なんだからウンコするに決まってんだろ。	It's a living being, so of course it shits.	pos::noun rank::3001-3500
かく	かく	to scratch<div style="font-size:12px;color:#a7aebb;margin-top:4px">verb &middot; frequency rank 3226</div>	その<ruby>社会<rt>しゃかい</rt></ruby><ruby>学者<rt>がくしゃ</rt></ruby>は<ruby>背中<rt>せなか</rt></ruby>を<b><ruby>掻<rt>か</rt></ruby>く</b><ruby>癖<rt>くせ</rt></ruby>がある。	その社会学者は背中を掻く癖がある。	The sociologist has a habit of scratching his back.	pos::verb rank::3001-3500
それにしても	それにしても	nevertheless; at any rate; even so<div style="font-size:12px;color:#a7aebb;margin-top:4px">expression &middot; frequency rank 3227</div>	<b>それにしても</b><ruby>男<rt>おとこ</rt></ruby>に<ruby>綺麗<rt>きれい</rt></ruby>って<ruby>形容<rt>けいよう</rt></ruby>はやめろよな～。	それにしても男に綺麗って形容はやめろよな～。	In any case please stop using "pretty" when describing a man.	pos::expression rank::3001-3500
ひたすら	ひたすら	intently; single-mindedly; devotedly<div style="font-size:12px;color:#a7aebb;margin-top:4px">adverb &middot; frequency rank 3228</div>	<ruby>彼<rt>かれ</rt></ruby>は<b>ひたすら</b><ruby>成功<rt>せいこう</rt></ruby>を<ruby>望<rt>のぞ</rt></ruby>んで<ruby>懸命<rt>けんめい</rt></ruby>に<ruby>働<rt>はたら</rt></ruby>く。	彼はひたすら成功を望んで懸命に働く。	He works hard because he is anxious to succeed.	pos::adverb rank::3001-3500
オプション	オプション	option; choice<div style="font-size:12px;color:#a7aebb;margin-top:4px">noun &middot; frequency rank 3229</div>	<b>オプション</b>として４<ruby>速<rt>そく</rt></ruby><ruby>自動<rt>じどう</rt></ruby><ruby>変速<rt>へんそく</rt></ruby><ruby>機<rt>き</rt></ruby>も<ruby>選<rt>えら</rt></ruby>べる。	オプションとして４速自動変速機も選べる。	4-speed automatic transmission is available as an option.	pos::noun rank::3001-3500
クイズ	クイズ	quiz<div style="font-size:12px;color:#a7aebb;margin-top:4px">noun &middot; frequency rank 3230</div>	<ruby>彼<rt>かれ</rt></ruby>にとってその<b>クイズ</b>に<ruby>答<rt>こた</rt></ruby>えることは<ruby>簡単<rt>かんたん</rt></ruby>だった。	彼にとってそのクイズに答えることは簡単だった。	It was easy for him to answer the quiz.	pos::noun rank::3001-3500
クラシック	クラシック	classical music<div style="font-size:12px;color:#a7aebb;margin-top:4px">noun &middot; frequency rank 3231</div>	<b>クラシック</b>はありません。	クラシックはありません。	I don't have any classical music.	pos::noun rank::3001-3500
サラダ	サラダ	salad<div style="font-size:12px;color:#a7aebb;margin-top:4px">noun &middot; frequency rank 3232</div>	<ruby>毎日<rt>まいにち</rt></ruby><ruby>新鮮<rt>しんせん</rt></ruby>な<ruby>野菜<rt>やさい</rt></ruby><b>サラダ</b>を<ruby>食<rt>た</rt></ruby>べてます。	毎日新鮮な野菜サラダを食べてます。	We eat a fresh, green salad every day.	pos::noun rank::3001-3500
タッチ	タッチ	touch; touching<div style="font-size:12px;color:#a7aebb;margin-top:4px">noun &middot; frequency rank 3233</div>	この<b>タッチ</b>は<ruby>彼女<rt>かのじょ</rt></ruby><ruby>独自<rt>どくじ</rt></ruby>のものだ。	このタッチは彼女独自のものだ。	This touch is original with her.	pos::noun rank::3001-3500
チリ	チリ	Chile<div style="font-size:12px;color:#a7aebb;margin-top:4px">noun &middot; frequency rank 3234</div>	<ruby>今日<rt>きょう</rt></ruby>の<ruby>新聞<rt>しんぶん</rt></ruby>によれば、<ruby>昨日<rt>きのう</rt></ruby><b>チリ</b>で<ruby>大<rt>だい</rt></ruby><ruby>地震<rt>じしん</rt></ruby>があったそうだ。	今日の新聞によれば、昨日チリで大地震があったそうだ。	According to today's paper, there was a big earthquake in Chile yesterday.	pos::noun rank::3001-3500
デザイナー	デザイナー	designer<div style="font-size:12px;color:#a7aebb;margin-top:4px">noun &middot; frequency rank 3235</div>	そんな<b>デザイナー</b>の<ruby>名前<rt>なまえ</rt></ruby><ruby>聞<rt>き</rt></ruby>いたことない。	そんなデザイナーの名前聞いたことない。	I didn't quite catch the name of that designer.	pos::noun rank::3001-3500
パスワード	パスワード	password<div style="font-size:12px;color:#a7aebb;margin-top:4px">noun &middot; frequency rank 3236</div>	<b>パスワード</b>は「Muiriel」です。	パスワードは「Muiriel」です。	The password is "Muiriel".	pos::noun rank::3001-3500
パンチ	パンチ	punch (with the fist)<div style="font-size:12px;color:#a7aebb;margin-top:4px">noun &middot; frequency rank 3237</div>	<ruby>私<rt>わたし</rt></ruby>の<b>パンチ</b>で<ruby>彼<rt>かれ</rt></ruby>はよろめいた。	私のパンチで彼はよろめいた。	My punch sent him reeling.	pos::noun rank::3001-3500
ファースト	ファースト	first<div style="font-size:12px;color:#a7aebb;margin-top:4px">noun &middot; frequency rank 3238</div>	<b>ファースト</b>がうちのチームのアキレスけんだ。	ファーストがうちのチームのアキレスけんだ。	The first baseman is the Achilles heel of our team.	pos::noun rank::3001-3500
フィリピン	フィリピン	Philippines<div style="font-size:12px;color:#a7aebb;margin-top:4px">noun &middot; frequency rank 3239</div>	スペインは<ruby>昔<rt>むかし</rt></ruby><b>フィリピン</b><ruby>諸島<rt>しょとう</rt></ruby><ruby>統治<rt>とうち</rt></ruby>していた。	スペインは昔フィリピン諸島統治していた。	Spain once governed the Philippine Islands.	pos::noun rank::3001-3500
マジック	マジック	magic<div style="font-size:12px;color:#a7aebb;margin-top:4px">noun &middot; frequency rank 3240</div>	<ruby>赤<rt>あか</rt></ruby>と<ruby>黒<rt>くろ</rt></ruby>の<b>マジック</b>かサインペン<ruby>持<rt>も</rt></ruby>ってない？	赤と黒のマジックかサインペン持ってない？	I need red and black markers or felt-tip pens. Do you have any?	pos::noun rank::3001-3500
ルー	ルー	roux<div style="font-size:12px;color:#a7aebb;margin-top:4px">noun &middot; frequency rank 3241</div>	<b>ルー</b>は、バターと<ruby>小麦粉<rt>こむぎこ</rt></ruby>を<ruby>炒<rt>いた</rt></ruby>めながら<ruby>作<rt>つく</rt></ruby>ります。	ルーは、バターと小麦粉を炒めながら作ります。	Roux is made while cooking flour and butter together.	pos::noun rank::3001-3500
<ruby>乾燥<rt>かんそう</rt></ruby>	乾燥	dryness; aridity; drying (e.g. clothes)<div style="font-size:12px;color:#a7aebb;margin-top:4px">noun &middot; frequency rank 3242</div>	<ruby>肌<rt>はだ</rt></ruby>が<b><ruby>乾燥<rt>かんそう</rt></ruby></b>しています。	肌が乾燥しています。	I have dry skin.	pos::noun rank::3001-3500
<ruby>仏<rt>ほとけ</rt></ruby>	仏	Buddha; Shakyamuni<div style="font-size:12px;color:#a7aebb;margin-top:4px">noun &middot; frequency rank 3243</div>	あの<ruby>人<rt>ひと</rt></ruby>は<b><ruby>仏<rt>ふつ</rt></ruby></b>のような<ruby>人<rt>ひと</rt></ruby>だ。	あの人は仏のような人だ。	He is a saint of a man.	pos::noun rank::3001-3500
<ruby>兄<rt>にい</rt></ruby>ちゃん	兄ちゃん	(one's) older brother<div style="font-size:12px;color:#a7aebb;margin-top:4px">noun &middot; frequency rank 3244</div>	<b><ruby>兄<rt>にい</rt></ruby>ちゃん</b>、こっち<ruby>生<rt>せい</rt></ruby><ruby>中<rt>ちゅう</rt></ruby><ruby>二<rt>ふた</rt></ruby>つー。	兄ちゃん、こっち生中二つー。	Kiddo! Two medium-size drafts here.	pos::noun rank::3001-3500
<ruby>共感<rt>きょうかん</rt></ruby>	共感	sympathy; empathy; response<div style="font-size:12px;color:#a7aebb;margin-top:4px">noun &middot; frequency rank 3245</div>	<ruby>自分<rt>じぶん</rt></ruby>が<ruby>生<rt>い</rt></ruby>きている<ruby>世界<rt>せかい</rt></ruby>との<b><ruby>共感<rt>きょうかん</rt></ruby></b>がなければ、<ruby>作家<rt>さっか</rt></ruby>であることは<ruby>無益<rt>むえき</rt></ruby>である。	自分が生きている世界との共感がなければ、作家であることは無益である。	It is no use being a writer if one is not in sympathy with the world in which one is living.	pos::noun rank::3001-3500
<ruby>分間<rt>ふんかん</rt></ruby>	分間	minutes (period of)<div style="font-size:12px;color:#a7aebb;margin-top:4px">counter &middot; frequency rank 3246</div>	<ruby>私<rt>わたし</rt></ruby>は１<b><ruby>分間<rt>ふんかん</rt></ruby></b>５０<ruby>語<rt>ご</rt></ruby>タイプできます。	私は１分間５０語タイプできます。	I can type 50 words a minute.	pos::counter rank::3001-3500
<ruby>動<rt>うご</rt></ruby>かす	動かす	to move; to shift; to stir<div style="font-size:12px;color:#a7aebb;margin-top:4px">verb &middot; frequency rank 3247</div>	なんとかその<ruby>機械<rt>きかい</rt></ruby>を<b><ruby>動<rt>うご</rt></ruby>かし</b>た。	なんとかその機械を動かした。	He managed to run the machine.	pos::verb rank::3001-3500
<ruby>各国<rt>かっこく</rt></ruby>	各国	each country; every country; various countries<div style="font-size:12px;color:#a7aebb;margin-top:4px">noun &middot; frequency rank 3248</div>	<b><ruby>各国<rt>かっこく</rt></ruby></b>にはそれぞれの<ruby>習慣<rt>しゅうかん</rt></ruby>がある。	各国にはそれぞれの習慣がある。	Each country has its own customs.	pos::noun rank::3001-3500
<ruby>同社<rt>どうしゃ</rt></ruby>	同社	the same company; the said firm<div style="font-size:12px;color:#a7aebb;margin-top:4px">noun &middot; frequency rank 3249</div>	<b><ruby>同社<rt>どうしゃ</rt></ruby></b>は<ruby>私<rt>わたし</rt></ruby>の<ruby>兄<rt>あに</rt></ruby>が<ruby>経営<rt>けいえい</rt></ruby>している。	同社は私の兄が経営している。	The company is managed by my elder brother.	pos::noun rank::3001-3500
<ruby>地点<rt>ちてん</rt></ruby>	地点	spot; point; place<div style="font-size:12px;color:#a7aebb;margin-top:4px">noun &middot; frequency rank 3250</div>	この<ruby>湖<rt>みずうみ</rt></ruby>はこの<b><ruby>地点<rt>ちてん</rt></ruby></b>が<ruby>一番<rt>いちばん</rt></ruby><ruby>深<rt>ふか</rt></ruby>い。	この湖はこの地点が一番深い。	This lake is deepest at this point.	pos::noun rank::3001-3500
<ruby>奥様<rt>おくさま</rt></ruby>	奥様	wife; your wife; his wife<div style="font-size:12px;color:#a7aebb;margin-top:4px">noun &middot; frequency rank 3251</div>	<b><ruby>奥様<rt>おくさま</rt></ruby></b>によろしくお<ruby>伝<rt>つた</rt></ruby>えください。	奥様によろしくお伝えください。	Please say hello to your wife.	pos::noun rank::3001-3500
<ruby>定着<rt>ていちゃく</rt></ruby>	定着	sticking (in one place, position, etc.); settling; fixing<div style="font-size:12px;color:#a7aebb;margin-top:4px">noun &middot; frequency rank 3252</div>	この<ruby>習慣<rt>しゅうかん</rt></ruby>は<ruby>日本人<rt>にっぽんじん</rt></ruby>の<ruby>間<rt>ま</rt></ruby>にすっかり<b><ruby>定着<rt>ていちゃく</rt></ruby></b>した。	この習慣は日本人の間にすっかり定着した。	This custom has become firmly established among the Japanese.	pos::noun rank::3001-3500
<ruby>当局<rt>とうきょく</rt></ruby>	当局	authorities; relevant authorities; authorities concerned<div style="font-size:12px;color:#a7aebb;margin-top:4px">noun &middot; frequency rank 3253</div>	<b><ruby>当局<rt>とうきょく</rt></ruby></b>は<ruby>事実<rt>じじつ</rt></ruby>を<ruby>大衆<rt>たいしゅう</rt></ruby>から<ruby>隠<rt>かく</rt></ruby>してきた。	当局は事実を大衆から隠してきた。	The authorities have been hiding the facts from the public.	pos::noun rank::3001-3500
<ruby>復讐<rt>ふくしゅう</rt></ruby>	復讐	revenge<div style="font-size:12px;color:#a7aebb;margin-top:4px">noun &middot; frequency rank 3254</div>	<ruby>彼女<rt>かのじょ</rt></ruby>はなんとかして<b><ruby>復讐<rt>ふくしゅう</rt></ruby></b>しようと<ruby>焦<rt>あせ</rt></ruby>っていた。	彼女はなんとかして復讐しようと焦っていた。	She wanted desperately to get her vengeance.	pos::noun rank::3001-3500
<ruby>月末<rt>げつまつ</rt></ruby>	月末	end of the month<div style="font-size:12px;color:#a7aebb;margin-top:4px">noun &middot; frequency rank 3255</div>	<b><ruby>月末<rt>げつまつ</rt></ruby></b>にはお<ruby>金<rt>かね</rt></ruby>がほとんどなくなります。	月末にはお金がほとんどなくなります。	I have so little money at the end of the month.	pos::noun rank::3001-3500
<ruby>望<rt>のぞ</rt></ruby>む	望む	to desire; to want; to wish for<div style="font-size:12px;color:#a7aebb;margin-top:4px">verb &middot; frequency rank 3256</div>	<ruby>彼女<rt>かのじょ</rt></ruby>は<ruby>通訳<rt>つうやく</rt></ruby>として<ruby>働<rt>はたら</rt></ruby>くことを<ruby>強<rt>つよ</rt></ruby>く<b><ruby>望<rt>のぞ</rt></ruby>ん</b>でいる。	彼女は通訳として働くことを強く望んでいる。	She has a strong wish to work as an interpreter.	pos::verb rank::3001-3500
<ruby>校長<rt>こうちょう</rt></ruby>	校長	principal; head teacher; headmaster<div style="font-size:12px;color:#a7aebb;margin-top:4px">noun &middot; frequency rank 3257</div>	<ruby>新<rt>あたら</rt></ruby>しい<b><ruby>校長<rt>こうちょう</rt></ruby></b>が<ruby>学校<rt>がっこう</rt></ruby>を<ruby>管理<rt>かんり</rt></ruby><ruby>運営<rt>うんえい</rt></ruby>している。	新しい校長が学校を管理運営している。	A new principal is administering the school.	pos::noun rank::3001-3500
<ruby>桃<rt>もも</rt></ruby>	桃	peach (Prunus persica)<div style="font-size:12px;color:#a7aebb;margin-top:4px">noun &middot; frequency rank 3258</div>	<ruby>昨年<rt>さくねん</rt></ruby>は<b>モモ</b>がたくさん<ruby>取<rt>と</rt></ruby>れた。	昨年はモモがたくさん取れた。	There was a large harvest of peaches last year.	pos::noun rank::3001-3500
<ruby>法的<rt>ほうてき</rt></ruby>	法的	legal<div style="font-size:12px;color:#a7aebb;margin-top:4px">na-adjective &middot; frequency rank 3259</div>	<ruby>製造<rt>せいぞう</rt></ruby><ruby>業者<rt>ぎょうしゃ</rt></ruby>はその<ruby>製品<rt>せいひん</rt></ruby>の<ruby>欠陥<rt>けっかん</rt></ruby>に<ruby>対<rt>たい</rt></ruby>して<b><ruby>法的<rt>ほうてき</rt></ruby></b>な<ruby>責任<rt>せきにん</rt></ruby>がある。	製造業者はその製品の欠陥に対して法的な責任がある。	Manufacturers are liable for defects in their products.	pos::na-adjective rank::3001-3500
<ruby>灯<rt>ひ</rt></ruby>	灯	light; lamp<div style="font-size:12px;color:#a7aebb;margin-top:4px">noun &middot; frequency rank 3260</div>	<ruby>窓<rt>まど</rt></ruby>に<b><ruby>灯<rt>あかり</rt></ruby></b>がともっていた。	窓に灯がともっていた。	There was a light burning in the window.	pos::noun rank::3001-3500
<ruby>狙<rt>ねら</rt></ruby>う	狙う	to aim at (with a weapon, etc.)<div style="font-size:12px;color:#a7aebb;margin-top:4px">verb &middot; frequency rank 3261</div>	<ruby>企業<rt>きぎょう</rt></ruby>はそのあとをねらって<ruby>競争<rt>きょうそう</rt></ruby>しています。	企業はそのあとをねらって競争しています。	Corporations are competing to fill the vacuum.	pos::verb rank::3001-3500
<ruby>生理<rt>せいり</rt></ruby>	生理	physiology<div style="font-size:12px;color:#a7aebb;margin-top:4px">noun &middot; frequency rank 3262</div>	<b><ruby>生理<rt>せいり</rt></ruby></b>が５<ruby>週間<rt>しゅうかん</rt></ruby><ruby>遅<rt>おく</rt></ruby>れています。	生理が５週間遅れています。	My period is five weeks late.	pos::noun rank::3001-3500
<ruby>税金<rt>ぜいきん</rt></ruby>	税金	tax; duty<div style="font-size:12px;color:#a7aebb;margin-top:4px">noun &middot; frequency rank 3263</div>	<ruby>人々<rt>ひとびと</rt></ruby>は<ruby>新<rt>あたら</rt></ruby>しい<b><ruby>税金<rt>ぜいきん</rt></ruby></b>に<ruby>対<rt>たい</rt></ruby>して<ruby>反対<rt>はんたい</rt></ruby>を<ruby>叫<rt>さけ</rt></ruby>んでいる。	人々は新しい税金に対して反対を叫んでいる。	People are crying out against the new tax.	pos::noun rank::3001-3500
<ruby>罠<rt>わな</rt></ruby>	罠	trap (for catching animals); snare<div style="font-size:12px;color:#a7aebb;margin-top:4px">noun &middot; frequency rank 3264</div>	<b><ruby>罠<rt>わな</rt></ruby></b>かもしれん、<ruby>油断<rt>ゆだん</rt></ruby>するな。	罠かもしれん、油断するな。	It could be a trap; don't let your guard down.	pos::noun rank::3001-3500
<ruby>被告<rt>ひこく</rt></ruby>	被告	defendant; the accused<div style="font-size:12px;color:#a7aebb;margin-top:4px">noun &middot; frequency rank 3265</div>	<b><ruby>被告<rt>ひこく</rt></ruby></b>は<ruby>有罪<rt>ゆうざい</rt></ruby>と<ruby>判明<rt>はんめい</rt></ruby>した。	被告は有罪と判明した。	The accused proved to be guilty.	pos::noun rank::3001-3500
<ruby>読書<rt>どくしょ</rt></ruby>	読書	reading (books)<div style="font-size:12px;color:#a7aebb;margin-top:4px">noun &middot; frequency rank 3266</div>	<b><ruby>読書<rt>どくしょ</rt></ruby></b>はあまり<ruby>楽<rt>たの</rt></ruby>しくなかった。	読書はあまり楽しくなかった。	I found little amusement in reading.	pos::noun rank::3001-3500
<ruby>調理<rt>ちょうり</rt></ruby>	調理	cooking; food preparation<div style="font-size:12px;color:#a7aebb;margin-top:4px">noun &middot; frequency rank 3267</div>	<ruby>卵<rt>たまご</rt></ruby>はどのように<b><ruby>調理<rt>ちょうり</rt></ruby></b>しましょうか。	卵はどのように調理しましょうか。	How do you like your eggs done?	pos::noun rank::3001-3500
<ruby>遠慮<rt>えんりょ</rt></ruby>	遠慮	reserve; constraint; restraint<div style="font-size:12px;color:#a7aebb;margin-top:4px">noun &middot; frequency rank 3268</div>	ありがとう、でも<b><ruby>遠慮<rt>えんりょ</rt></ruby></b>しておきます。	ありがとう、でも遠慮しておきます。	I appreciate it, but I think I shouldn't.	pos::noun rank::3001-3500
<ruby>鈴<rt>すず</rt></ruby>	鈴	bell (often globular)<div style="font-size:12px;color:#a7aebb;margin-top:4px">noun &middot; frequency rank 3269</div>	<ruby>問題<rt>もんだい</rt></ruby>は<ruby>誰<rt>だれ</rt></ruby>が<ruby>猫<rt>ねこ</rt></ruby>に<b><ruby>鈴<rt>すず</rt></ruby></b>をつけるかだ。	問題は誰が猫に鈴をつけるかだ。	The question is: Who will bell the cat.	pos::noun rank::3001-3500
<ruby>鑑賞<rt>かんしょう</rt></ruby>	鑑賞	appreciation (of art, music, poetry, etc.)<div style="font-size:12px;color:#a7aebb;margin-top:4px">noun &middot; frequency rank 3270</div>	<ruby>彼<rt>かれ</rt></ruby>は、<ruby>芸術<rt>げいじゅつ</rt></ruby>に<ruby>対<rt>たい</rt></ruby>する<b><ruby>鑑賞<rt>かんしょう</rt></ruby></b><ruby>力<rt>りょく</rt></ruby>がある。	彼は、芸術に対する鑑賞力がある。	He has an eye for art.	pos::noun rank::3001-3500
<ruby>面積<rt>めんせき</rt></ruby>	面積	area (measurement); square measure; size (of land)<div style="font-size:12px;color:#a7aebb;margin-top:4px">noun &middot; frequency rank 3271</div>	<ruby>三角形<rt>さんかっけい</rt></ruby>の<b><ruby>面積<rt>めんせき</rt></ruby></b>を<ruby>求<rt>もと</rt></ruby>めてくれ。	三角形の面積を求めてくれ。	Please find the area of the triangle.	pos::noun rank::3001-3500
<ruby>食料<rt>しょくりょう</rt></ruby>	食料	food<div style="font-size:12px;color:#a7aebb;margin-top:4px">noun &middot; frequency rank 3272</div>	インドは<ruby>今<rt>いま</rt></ruby>、<b><ruby>食料<rt>しょくりょう</rt></ruby></b>が<ruby>不足<rt>ふそく</rt></ruby>している。	インドは今、食料が不足している。	India is now short of food.	pos::noun rank::3001-3500
ところが	ところが	even so; however; still<div style="font-size:12px;color:#a7aebb;margin-top:4px">conjunction &middot; frequency rank 3273</div>	<b>ところが</b><ruby>実<rt>じつ</rt></ruby>はどうすることもできないのです。	ところが実はどうすることもできないのです。	As it is, I can do nothing.	pos::conjunction rank::3001-3500
なるべく	なるべく	as (much) as possible; as (much) as one can; wherever practicable<div style="font-size:12px;color:#a7aebb;margin-top:4px">adverb &middot; frequency rank 3274</div>	<b>なるべく</b>ゆっくり<ruby>話<rt>はな</rt></ruby>してもらえますか。	なるべくゆっくり話してもらえますか。	Could you speak as slowly as possible?	pos::adverb rank::3001-3500
まして	まして	still more; to say nothing of; not to mention<div style="font-size:12px;color:#a7aebb;margin-top:4px">expression &middot; frequency rank 3275</div>	<ruby>彼<rt>かれ</rt></ruby>はフランス<ruby>語<rt>ご</rt></ruby>が<ruby>話<rt>はな</rt></ruby>せる。<b>まして</b><ruby>英語<rt>えいご</rt></ruby>は<ruby>話<rt>はな</rt></ruby>せる。	彼はフランス語が話せる。まして英語は話せる。	He can speak French, not to mention English.	pos::expression rank::3001-3500
ガイド	ガイド	guide; tour guide; conductor<div style="font-size:12px;color:#a7aebb;margin-top:4px">noun &middot; frequency rank 3276</div>	この<ruby>国<rt>くに</rt></ruby>の<ruby>旅行<rt>りょこう</rt></ruby><b>ガイド</b>を<ruby>見<rt>み</rt></ruby>せてくれませんか。	この国の旅行ガイドを見せてくれませんか。	Please show me some of the travel guides for this country.	pos::noun rank::3001-3500
キッチン	キッチン	kitchen<div style="font-size:12px;color:#a7aebb;margin-top:4px">noun &middot; frequency rank 3277</div>	この２<ruby>日間<rt>にちかん</rt></ruby><ruby>皿洗<rt>さらあら</rt></ruby>いする<ruby>時間<rt>じかん</rt></ruby>もないよ。<b>キッチン</b>の<ruby>流<rt>なが</rt></ruby>しに<ruby>山積<rt>やまづ</rt></ruby>みしているよ。	この２日間皿洗いする時間もないよ。キッチンの流しに山積みしているよ。	I haven't had time to do the dishes for two days; they are in a pile in the kitchen sink.	pos::noun rank::3001-3500
ゴム	ゴム	gum; rubber<div style="font-size:12px;color:#a7aebb;margin-top:4px">noun &middot; frequency rank 3278</div>	マヤ<ruby>族<rt>ぞく</rt></ruby>の<ruby>人々<rt>ひとびと</rt></ruby>はボールを<b>ゴム</b>で<ruby>作<rt>つく</rt></ruby>っていました。	マヤ族の人々はボールをゴムで作っていました。	The Mayas made their balls out of rubber.	pos::noun rank::3001-3500
スキー	スキー	skiing<div style="font-size:12px;color:#a7aebb;margin-top:4px">noun &middot; frequency rank 3279</div>	この<b>スキー</b>ウェアは<ruby>冷<rt>つめ</rt></ruby>たい<ruby>風<rt>かぜ</rt></ruby>を<ruby>通<rt>とお</rt></ruby>しません。	このスキーウェアは冷たい風を通しません。	This ski wear keeps out the cold wind.	pos::noun rank::3001-3500
プライベート	プライベート	private<div style="font-size:12px;color:#a7aebb;margin-top:4px">na-adjective &middot; frequency rank 3280</div>	<ruby>彼<rt>かれ</rt></ruby>は<b>プライベート</b>には<ruby>誰<rt>だれ</rt></ruby>も<ruby>立<rt>た</rt></ruby>ち<ruby>入<rt>い</rt></ruby>らせなかった。	彼はプライベートには誰も立ち入らせなかった。	He wouldn't let anybody interfere with his private affairs.	pos::na-adjective rank::3001-3500
ポップ	ポップ	pop; popular; fashionable<div style="font-size:12px;color:#a7aebb;margin-top:4px">na-adjective &middot; frequency rank 3281</div>	あなたは<b>ポップ</b>ソングが<ruby>好<rt>す</rt></ruby>きではないのですね？	あなたはポップソングが好きではないのですね？	You don't like pop songs, do you?	pos::na-adjective rank::3001-3500
<ruby>不快<rt>ふかい</rt></ruby>	不快	displeasure; discomfort; unpleasantness<div style="font-size:12px;color:#a7aebb;margin-top:4px">noun &middot; frequency rank 3282</div>	その<ruby>腐<rt>くさ</rt></ruby>った<ruby>肉<rt>にく</rt></ruby>はひどく<b><ruby>不快<rt>ふかい</rt></ruby></b>な<ruby>匂<rt>にお</rt></ruby>いがした。	その腐った肉はひどく不快な匂いがした。	The spoiled meat had a nasty smell.	pos::noun rank::3001-3500
<ruby>二度<rt>にど</rt></ruby>と	二度と	never again<div style="font-size:12px;color:#a7aebb;margin-top:4px">adverb &middot; frequency rank 3283</div>	<ruby>古<rt>ふる</rt></ruby>きよき<ruby>時代<rt>じだい</rt></ruby>は<ruby>去<rt>さ</rt></ruby>り、<b><ruby>二度<rt>にど</rt></ruby>と</b><ruby>戻<rt>もど</rt></ruby>らない。	古きよき時代は去り、二度と戻らない。	The good old days have gone, never to return.	pos::adverb rank::3001-3500
<ruby>人種<rt>じんしゅ</rt></ruby>	人種	race (of people)<div style="font-size:12px;color:#a7aebb;margin-top:4px">noun &middot; frequency rank 3284</div>	<ruby>世界<rt>せかい</rt></ruby>にはいろいろな<b><ruby>人種<rt>じんしゅ</rt></ruby></b>がいる。	世界にはいろいろな人種がいる。	There are many different races in the world.	pos::noun rank::3001-3500
<ruby>体質<rt>たいしつ</rt></ruby>	体質	constitution (physical); physical make-up; predisposition (to disease)<div style="font-size:12px;color:#a7aebb;margin-top:4px">noun &middot; frequency rank 3285</div>	アレルギー<b><ruby>体質<rt>たいしつ</rt></ruby></b>ですか。	アレルギー体質ですか。	Do you have any allergies?	pos::noun rank::3001-3500
<ruby>倒<rt>たお</rt></ruby>す	倒す	to throw down; to bring down; to blow down<div style="font-size:12px;color:#a7aebb;margin-top:4px">verb &middot; frequency rank 3286</div>	<b><ruby>倒<rt>たお</rt></ruby>し</b>た<ruby>座席<rt>ざせき</rt></ruby>の<ruby>背<rt>せ</rt></ruby>を<ruby>少<rt>すこ</rt></ruby>し<ruby>戻<rt>もど</rt></ruby>していただけますか。	倒した座席の背を少し戻していただけますか。	Could you put your seat back up a little?	pos::verb rank::3001-3500
<ruby>側面<rt>そくめん</rt></ruby>	側面	side; flank; profile<div style="font-size:12px;color:#a7aebb;margin-top:4px">noun &middot; frequency rank 3287</div>	さらにまた、その<ruby>話<rt>はなし</rt></ruby>にはもうひとつの<b><ruby>側面<rt>そくめん</rt></ruby></b>がある。	さらにまた、その話にはもうひとつの側面がある。	Again, there is another side to the story.	pos::noun rank::3001-3500
<ruby>兼<rt>けん</rt></ruby>	兼	and (concurrently; e.g. chauffeur and secretary); in addition to; at the same time<div style="font-size:12px;color:#a7aebb;margin-top:4px">conjunction &middot; frequency rank 3288</div>	<ruby>編集<rt>へんしゅう</rt></ruby><ruby>者<rt>しゃ</rt></ruby><b><ruby>兼<rt>けん</rt></ruby></b><ruby>出版<rt>しゅっぱん</rt></ruby><ruby>者<rt>しゃ</rt></ruby>であるその<ruby>人<rt>ひと</rt></ruby>は<ruby>私<rt>わたし</rt></ruby>のいとこです。	編集者兼出版者であるその人は私のいとこです。	The editor and publisher is my cousin.	pos::conjunction rank::3001-3500
<ruby>占<rt>うらな</rt></ruby>い	占い	fortune-telling; divination<div style="font-size:12px;color:#a7aebb;margin-top:4px">noun &middot; frequency rank 3289</div>	<ruby>昨日<rt>きのう</rt></ruby>の<ruby>易者<rt>えきしゃ</rt></ruby>の<b><ruby>占<rt>うらな</rt></ruby>い</b>なんか<ruby>気<rt>き</rt></ruby>にすることないよ。	昨日の易者の占いなんか気にすることないよ。	What that fortuneteller said yesterday is nothing to be concerned about.	pos::noun rank::3001-3500
<ruby>呪<rt>のろ</rt></ruby>い	呪い	curse; spell; malediction<div style="font-size:12px;color:#a7aebb;margin-top:4px">noun &middot; frequency rank 3290</div>	その<ruby>家族<rt>かぞく</rt></ruby>には<b><ruby>呪<rt>のろ</rt></ruby>い</b>がかけられているようだった。	その家族には呪いがかけられているようだった。	The family seemed to be under a curse.	pos::noun rank::3001-3500
